timestamp,concurrent_players,cpu_usage_percent,memory_usage_gb,network_in_mbps,network_out_mbps,tick_rate,hour,day_of_week,is_weekend,anomaly,anomaly_type,server_id,realm
2026-01-01 00:00:00,174,61.9,24.7,153.1,128.7,57,0,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 01:00:00,178,68.0,24.9,101.8,95.2,54,1,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 02:00:00,177,68.9,26.8,123.9,123.4,53,2,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 03:00:00,173,70.7,23.0,131.7,106.6,51,3,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 04:00:00,165,71.0,22.7,146.1,102.8,52,4,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 05:00:00,154,58.7,24.3,173.2,62.8,59,5,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 06:00:00,141,57.1,20.6,108.2,51.6,59,6,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 07:00:00,126,52.6,21.4,72.7,72.3,59,7,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 08:00:00,111,54.0,21.2,96.8,70.3,59,8,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 09:00:00,97,54.3,16.7,104.0,41.3,60,9,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 10:00:00,91,55.3,17.8,75.0,40.0,58,10,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 11:00:00,91,51.1,15.0,54.7,63.0,60,11,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 12:00:00,91,50.1,17.9,92.0,63.0,59,12,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 13:00:00,90,51.8,16.9,85.3,51.9,60,13,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 14:00:00,90,47.9,17.3,51.5,65.7,59,14,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 15:00:00,90,59.6,15.7,79.6,40.0,59,15,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 16:00:00,90,44.8,14.1,91.9,48.7,60,16,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 17:00:00,90,51.9,17.4,95.6,78.7,60,17,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 18:00:00,99,60.9,14.4,77.9,60.4,59,18,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 19:00:00,114,55.5,18.5,84.0,70.3,62,19,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 20:00:00,130,57.6,21.9,128.5,112.6,58,20,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 21:00:00,144,59.5,22.1,91.0,65.4,59,21,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 22:00:00,157,62.5,26.0,134.4,106.1,55,22,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-01 23:00:00,167,70.6,25.6,106.2,125.2,52,23,3,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 00:00:00,174,57.5,23.7,160.5,99.5,58,0,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 01:00:00,177,73.0,25.0,136.4,119.1,49,1,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 02:00:00,176,61.0,24.8,166.2,90.9,58,2,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 03:00:00,172,64.9,22.1,147.4,92.9,56,3,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 04:00:00,163,62.6,22.2,105.9,103.6,57,4,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 05:00:00,152,64.7,21.8,150.1,103.2,55,5,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 06:00:00,139,53.6,18.3,142.2,100.2,62,6,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 07:00:00,124,59.2,20.0,116.8,97.9,60,7,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 08:00:00,109,62.7,18.1,72.0,64.4,56,8,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 09:00:00,94,46.5,14.5,69.1,74.3,59,9,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 10:00:00,89,51.8,17.2,74.1,48.3,62,10,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 11:00:00,89,48.4,17.6,57.1,66.9,59,11,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 12:00:00,89,52.7,16.9,105.0,56.5,58,12,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 13:00:00,88,50.9,16.0,73.3,59.5,58,13,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 14:00:00,88,48.3,17.3,50.0,59.2,59,14,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 15:00:00,88,52.8,17.5,77.2,40.0,59,15,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 16:00:00,88,58.1,16.9,63.4,40.0,58,16,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 17:00:00,89,50.3,15.3,69.7,54.9,58,17,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 18:00:00,99,55.7,17.9,71.8,40.0,58,18,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 19:00:00,113,50.2,20.6,106.5,80.3,60,19,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 20:00:00,128,54.2,19.4,124.8,89.9,59,20,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 21:00:00,142,62.4,24.8,119.3,90.1,57,21,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 22:00:00,155,68.8,22.1,117.2,76.2,54,22,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-02 23:00:00,166,66.3,24.0,132.0,120.3,56,23,4,0,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 00:00:00,198,69.4,26.0,158.8,149.4,52,0,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 01:00:00,201,71.2,27.6,144.8,122.8,50,1,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 02:00:00,200,66.0,24.6,171.6,127.7,53,2,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 03:00:00,196,72.7,26.0,166.0,120.6,50,3,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 04:00:00,187,72.2,24.3,180.4,120.2,49,4,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 05:00:00,176,64.9,25.1,165.9,103.8,55,5,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 06:00:00,163,62.5,25.1,116.7,97.3,56,6,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 07:00:00,149,62.9,23.3,135.6,103.0,56,7,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 08:00:00,133,57.2,17.2,87.4,115.0,60,8,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 09:00:00,119,56.2,22.5,109.1,50.4,58,9,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 10:00:00,113,63.7,19.3,80.1,66.2,58,10,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 11:00:00,114,54.5,17.8,70.7,50.7,59,11,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 12:00:00,114,54.1,19.2,96.8,92.3,59,12,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 13:00:00,114,52.9,19.2,50.0,59.6,57,13,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 14:00:00,113,58.3,17.8,55.4,46.2,59,14,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 15:00:00,113,54.6,19.1,86.9,77.4,59,15,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 16:00:00,158,67.7,17.9,92.0,94.0,59,16,5,1,1,bot_influx,realm1-shard1,alpha-realm-1
2026-01-03 17:00:00,114,60.8,18.3,83.8,78.4,61,17,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 18:00:00,124,63.0,18.9,67.6,77.5,57,18,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 19:00:00,139,57.6,19.2,94.8,89.5,58,19,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 20:00:00,154,55.3,23.0,131.0,113.6,58,20,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 21:00:00,168,69.3,25.0,146.0,87.7,53,21,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 22:00:00,181,64.8,26.1,144.5,106.9,58,22,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-03 23:00:00,192,72.7,27.7,176.7,108.4,50,23,5,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 00:00:00,199,62.9,27.6,167.1,101.9,58,0,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 01:00:00,203,75.1,26.7,147.5,116.9,48,1,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 02:00:00,202,66.5,28.7,156.0,137.8,56,2,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 03:00:00,197,73.4,24.9,129.5,126.7,46,3,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 04:00:00,189,69.1,24.8,149.0,123.1,53,4,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 05:00:00,178,63.2,23.6,164.6,109.0,58,5,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 06:00:00,165,63.1,25.5,145.7,106.8,55,6,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 07:00:00,149,64.6,23.7,147.2,77.4,55,7,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 08:00:00,134,59.5,21.6,101.1,75.8,58,8,6,1,0,normal,realm1-shard1,alpha-realm-1
2026-01-04 09:00:00,120,58.9,21.1,122.9,74.9,58,9,6,1,0,normal,realm1-shard1,alpha-realm-1
